DataSourceId,Text,Label,StageOfOperation,Source,Note,BCS,COSPEvaluation,COSPNumber
ASAA2013111296388,"DURING CLIMB PASSING FL300, RT PACK CAUTION LIGHT ILLUMINATED.  RESET RT PACK AND AFTER 30 SECONDS CAUTION LIGHT ILLUMINATED AGAIN.  NOTED RT PACK TEMP AT 55C, LT PACK TEMP AT 15C AND RT RAM DOOR OPEN LIGHT ON.  CLOSED ISOLATION VALVE AND TURNED RT PACK SWITCH OFF IAW CHECKLIST.  CABIN PRESSURIZATION AND AIR CONDITION NORMAL WITH LT PACK ONLY.  ACFT GROUNDED.  ACCOMPLISHED BITE CHECK OF BOTH PACK TEMP CONTROLLERS IAW FIM 21-53-818, NO FAULTS FOUND. INSPECTED RT PACK INTAKE NO FOD FOUND.  INSPECTED EXHAUST DUCT NO DAMAGE FOUND. RAN RT PACK FOR 1 HOUR FULL HOT TO FULL COLD NO FAULTS FOUND. COMPARED LT PACK TO RT PACK TEMP BOTH WITHIN 4 DEG.",No,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
ASAA2013120696649,"ON TOUCHDOWN, RECEIVED AN AUTO FAIL AND ALTERNATE LIGHTS ON PRESSURIZATION PANEL.  ACFT GROUNDED.  NR 2 CONTROLLER LOGGED OFF LRU FAIL. RESET FAULT NR 1 & 2 CONTROLLERS BITE CHECKED NORMAL, IAW FIM 21-31, TASK 801.",No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2014010912357,AUTO PRESSURIZATION FAILED ON DESCENT.  ALT WORKED FINE.  ACFT GROUNDED.  REPLACED NR 2 CABIN PRESSURE CONTROLLER AND OPS CHECKS GOOD IAW AMM 21-31-01-02B.,No,DESCENT                                           ,Added By Random Sampling,,,,
ASAA2014013006724,"DURING DESCENT, PRESSURE AUTO FAIL LIGHT ON. SWITCHED TO ALTERNATE, FAILED LIGHT ON AS WELL. ALL DASHES IN WINDOWS.  ACFT GROUNDED. PERFORMED BITE CHECK OF PRESSURE CONTROLLERS, NO CURRENT FAULTS LOGGED IAW FIM 21-31 TASK 801.  PERFORMED PRESSURIZATION SYS GROUND TEST, NO DEFECTS NOTED, IAW AMM 21-31-00-700-802,  ACFT OK FOR SERVICE.",No,DESCENT                                           ,FAA and Sentence Transformer Aided ,,,,
ASAA2014031807238,"AT FL370,  AUTO FAIL LIGHT ILLUMINATED.  PERFORMED QRH PROCEDURE.  SWITCHED CONTROLLER TO ALTERNATE.  PRESSURIZATION CONTROLLABLE.  ACFT GROUNDED. COMPLIED WITH BITE TEST PROCEDURE FOR NR 1 & 2 CABIN PRESSURE CONTROLLERS FOUND LRU FAILED ON NR 1, CLEARED EXISTING FAULT.  NO FAULT HISTORY NOTED, GROUND VIRIFICATION OF THE SYS WAS SUCCESSFUL IAW FIM TASK 21-31, TASK 801.  OK FOR SERVICE.",No,CRUISE                                            ,Added By Random Sampling,,,,
ASAA2014032907336,PRESSURIZATION AUTO FAIL LIGHT ILLUMINATED DURING LANDING.  SWITCHED TO ALTERNATE MODE. ACFT GROUNDED.  PERFORMED BITE TEST ON DFCPC.  TEST PASSED.  NO FAULTS.  SWITCHED TO MANUAL AND BACK TO AUTO AND AUTO FAIL LIGHT GOES OUT.  NO HISTORY 30 DAYS.,No,LANDING                                           ,Added By Random Sampling,,,,
ASAA2014050107678,AUTO FAIL PRESSURIZATION LIGHT ILLUMINATED ON PRESSURE PANEL.  ACFT GROUNDED.  MOVED SELECTOR SWITCH TO MANUAL THEN BACK TO AUTO.  AUTO FAIL LIGHT REMAINS OUT.,No,NOT REPORTED                                      ,Added By Random Sampling,,,,
ASAA2014051807841,"AUTO FAIL FL370, SYSTEM SWITCHED TO ALTN AUTOMATICALLY IAW CHECKLIST.  SELECTED ALTN, AUTO FAIL EXTINGUISHED. SYSTEM OPERATED NORMALLY IN ALTN.  ACFT GROUNDED.  COMPLISHED BITE CHECK OF NR 1 CPC. NO LOGGED FAULTS.  R & R NR 1 CPC IAW AMM 21-31-01. ACCOMPLISHED PRESSURIZATION SYS GROUND TEST IAW AMM 21-31-00-700-802.  NO DEFECTS NOTED.",No,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
ASAA2014060408037,FLT PRESSURIZATION PANEL HAS AUTO FAIL & ALTN LIGHTS ILLUMINATED.  ACFT GROUNDED. CYCLED POWER FOR BOTH PRESSURIZATION CONTROLLERS. AUTO PRESSURIZATION OPS NORMAL REF BITE PROCEDURE 21-31-YASK 801.,No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2014071308558,"CREW REPORTED DUCT SPLIT DURING CRUISE. CONSTANT SPLIT NOT A SPIKE. R=20, L=35. N1 SPEED 88 PERCENT.  ALTITUDE= 37,000 FT ISOLATION VALVE= AUTO. ENGINE BLEEDS=OPEN.  APU=OFF. BOTH PACKS= OPERATING. COWL AND WING ANTI ICE=OFF.  CABIN PRESSURIZATION=GOOD.  ACFT GROUNDED.  ACCOMPLISHED HEALTH CHECK ON NR 2 ENGINE BLEED AIR SYS IAW HEALTH CHECK WC NG-36WC-00001. PRSOV FAILED WRENCH TEST, 450 DEG. SENSE LINE LEAKING, PRECOOLER CONTROL VALVE FAILED CONTROL PRESSURE REGULATION.  R & R PRSOV IAW AMM 36-11-04-000-801 FOR REMOVAL AND AMM 36-11-04-400-801 FOR INSTALLATION. R & R 450 DEGREE SENSE LINE IAW TC NG36WC-00001.  R & R PRECOOLER CONTROL VALVE IAW AMM 36-12-02-000-801 FOR REMOVAL AND AMM 36-12-02-400-801 FOR INSTALLATION AFTER INSTALLATION PERFORMED HEALTH CHECK ON INSTALLED PARTS IAW TC NG-36WC-00001, OPS CHECKED GOOD, ACCOMPLISHED ENGINE BLEED AIR CROSSOVER OPS CHECK- TEST IAW AMM 36-11-00-710-801.  OPS CHECKED GOOD.",No,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
ASAA2014112309730,"FLT WINDOW ON PRESSURE CONTROLLER HAS UNRELIABLE, UNSTABLE NR SCROLLING.  FLIGHT ALT DESIRED IMPOSSIBLE TO INPUT.  ACFT GROUNDED.  CYCLED POWER FROM JET POWER TO APU AND PRESSURIZATION CONTROL MODULE READING CAME TO NORMAL.  BOTH PRESSURIZATION CONTROLLERS BITE TESTED IAW TASK 21-31-00-700-802,  BOTH OPS CK GOOD.  PRESS CONTROL MODULE READING ALL NORMAL.  NO HISTORY 30 DAYS.",No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2015010810185,"PRESSURIZATION AUTO FAIL ON TAXI AUTO FAIL LIGHT AND GREEN ALTN LIGHT ILLUMINATED. ACFT GROUNDED.  PERFORMED AUTO FAIL LIGHT ON FAULT ISOLATION IAW FIM TASK 21-31, TASK 827. FOUND SEL PANEL LRU FAIL ON NR 2 DCPC BITE.  PERFORMED CPC MODULE DISPLY FAULT ISOLATION IAW FIM 21-31, TASK 803.  FAULT CLEARED, NO EXISTING FAULTS DISPLAYED, NO ADDITIONAL MAINTENANCE REQUIRED REF FIM 21-31, TASK 803 (E)(3)(C).",No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2016021415413,"LANDING ALTITUDE READOUT ON PRESSURIZATION CONTROL PANEL VERY DIM.  WHEN LIGHTS TEST SWITCH IN DIM MODE. OPS NORMAL IN BRIGHT MODE.  ACFT GROUNDED.  R & R CABIN PRESS CONTROL MODULE REFAMM 21-31-02, 400/801.  OPS & GROUND VERIFICATION TEST PASSED.",No,NOT REPORTED                                      ,Added By Random Sampling,,,,
ASAA2016032416084,"ON SHORT FINAL AUTOFAIL ILLUMINATED ON PRESSURIZATION PANEL.  ACFT GROUNDED.  PLACED CONTROL TO MANUAL & BACK TO AUTO, FAULT CLEARED NR 2 CONTROLLER FAULTED OUTFLOW VALVE.  NR 1 AND NR 2 PRESSURIZATION SYS GROUND TEST, OPS CHECKS NORMAL.",No,FINAL APPROACH                                    ,Added By Random Sampling,,,,
ASAA2016041316391,"PROMPTLY AFTER LEVEL OFF AT FL 310 HEARD CABIN ALTITUDE WARNING HORN ACCOMPANIED BY VISUAL CABIN RED ANNUNCIATER LIGHT PERFORMED QRH CHECKLIST PROCEDURES & EXECUTED EMERGENCY DECENT TO 10000'.  CABIN STABILIZED IN STANDBY MODE AT 10000 REMAINED OF FLIGHT.  ACFT GROUNDED.  PERFORMED OPS TEST, PRESSURIZATION CONTROL SYS IAW AMM 21-31-00,  OPS CHECKS GOOD,  NOFAULTS FOUND.  R & R AUTO CABIN PRESSURE CONTROLLER FOR CONVENIENCE, PRECAUTION.  PERFORMED OPS TEST, PRESSURIZATION CONTROL SYS AFTER INSTALLING NEW AUTO PRESSURE CONTROLLER, NO FAULTS FOUND, REF AMM 21-31-00. PERFORMED AIRPLANE SINGLE PACK OPERATION, CONFIDENCE CHECK IAW AMM 21-00-05, NO FAULTS FOUND, ALL TESTS PASS. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  UNSCHED LANDING Part Name: CONTROLLER Part Condition: FAILED",Yes,CRUISE                                            ,FAA and Sentence Transformer Aided ,,,,
ASAA2016072617522,"AT 500 FEET ON FINAL,  THE AUTO FAIL LIGHT ILLUMINATED ON THE PRESSURIZATION PANEL ALONG WITH GREEN ALTN LIGHT. AT GATE WE FOLLOWED THE QRH AND WHEN I MOVED THE SWITCH TO ALTN THE AUTO FAIL LIGHT WENT OUT. GROUNDED - YES. REMOVED AND INSTALLED NEW OUTFLOW VALVE, REF B737-800 AMM 21-31-03-000-801 & 21-31-03-400-80. RAN OPS CHECK, PRESSURE SYSTEM GROUND TEST PER B737-800 AMM 21-31-00-700-802, OPS NORMAL.",No,FINAL APPROACH                                    ,Added By Random Sampling,,,,
ASAA2016081217674,PRESSURIZATION CONTROL PANEL BACK LIGHT WILL NOT DIM.  ACFT GROUNDED.  REMOVED AND REPLACED CABIN PRESSURE CONTROL MODULE.  OPS TESTED GOOD IAW AMM 21-31-02.,No,NOT REPORTED                                      ,Added By Random Sampling,,,,
ASAA2016081617720,PRESSURIZATION AUTO FAIL LIGHT ILLUMINATES ON LANDING.  ACFT GROUNDED.  SELECTED MANUAL FOR 10 SECONDS AND BACK TO AUTO. AUTO FAIL LIGHT WENT OUT. NR 2 CONTROLLER FFR SHOWED OFV LRU FAIL FAULT. CURRENT BITE TEST OF SYSTEM. 1 & 2 PRESSURE CONTROLLERS TEST & RESET GOOD IAW FIM 21-31/T827.,No,LANDING                                           ,Added By Random Sampling,,,,
ASAA2016110618580,"AUTO FAIL AND ALTN ILLUMINATED ON PRESSURIZATION CONTROL PANEL.  ACFT GROUNDED.  RESET ACFT POWER AND AUTOFAIL AND ALTN LIGHTS DID NOT ILLUMINATE IAW FIM 21-31 TASK 801 DCPC BITE NR 1 AND 2, NO EXISTING FAULTS. FAULT HISTORY NR 2 SHOWS SELECTOR PANEL LRU FAIL FOR FL 00 IAW FIM 21-31 TASK 803 INITIAL EVAL PARA E (3)(C) DCPC PERFORMING CORRECTLY.",No,NOT REPORTED                                      ,Added By Random Sampling,,,,
ASAA2017011919471,CONTROL CABIN ZONE TEMP ON RECALL.  ACFT GROUNDED. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  OTHER Part Name: CONTROLLER Part Condition: FAULTED,No,NOT REPORTED                                      ,SME Feedback,No Decompression,,,
ASAA2017022819972,PAX OXYGEN MASKS AT ROW 11ABC DEPLOYED DURING CLIMB.  RETURNED TO LAND.  ACFT GROUNDED.   REPACKED PSU THE OXYGEN MASKSIAW.AMM 35-22-31-000-803-001. Nature of Condition:  OTHER Precautionary Procedure:  UNSCHED LANDING Part Name: OXYGEN MASK Part Condition: UNWANTED DEPLOY,No,CLIMB                                             ,SME Feedback,O2 masks,,,
ASAA2017032320249,"AUTO FAIL ANNUNCIATOR ILLUMINATED ON PRESSURIZATION PANEL.  ACFT GROUNDED. CYCLED TO MANUAL , ALTERNATE & BACK,  SYS RESET. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  OTHER Part Name: CABIN PRESSURE Part Condition: MALFUNCTIONED",Maybe,NOT REPORTED                                      ,SME Feedback,,,,
ASAA2017042420525,"CLIMB THROUGH 10,000 FEET,  CABIN ALTITUDE WARNING LIGHT AND HORN SOUNDED.  PRESSURE CONTROLLER HAD SHIFTED TO MANUAL.MAINTAINED 10,000 FEET AND RAN PRESSURIZATION IN MANUAL IAW QRH. ACFT GROUNDED. PERFORMED FIM TASK 21-31-00-810-801, PARA. A-E (9) (W). NO ACTIVE FAULTS NOTED AT THIS TIME. OPS CHECKED NORMAL IAW FIM TASK. CHECKED OUTFLOW VALVE FOR OPERATION & OBSTRUCTIONS, CHECKED GOOD. SYSTEM GROUND TEST PASSED, NO FAULTS AT THIS TIME. Nature of Condition:  FALSE WARNING Precautionary Procedure:  OTHER Part Name: WARNING LIGHT Part Condition: FALSE ACTIVATION",Yes,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
ASAA2017060220938,"LT PACK LIGHT ON IN CLIMB 12,000 FT TRIP RESET DID NOT WORK (EXT. LIGHT). LT PACK 24C, RT PACK 21C, LT PACK SWITCH TO OFF,  CONTINUED FLIGHT AT FL 340.  OK PRESSURIZATION CABIN, 7000 FT.  ACFT GROUNDED.  REPLACED THE LT PACK TRIM AIR MODULATING VALVE IAW AMM 21-61-20 PB 401. PERFORMED BITE TEST IAW AMM 21-61-00-700-806-002.",No,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
ASAA2017061621098,"DURING CRUISE AT FL340, HAD AN UNSCHEDULED PRESSURIZATION CHANGE.  CABIN STARTED TO DESCEND AT APPROXIMATELY 2000 FT PERMINUTE.  ACCOMPLISHED QRH CHECKLIST, CABIN STABILIZED IN ALTERNATE MODE.  CABIN DIFFERENTIAL 8.6-8.7, CABIN ALTITUDE 7,000 - 7,500 FT.  ACFT GROUNDED.  REMOVED AND REPLACED AFT OUTFLOW VALVE ASSEMBLY IAW AMM 21-31-03-000-801, AND 21-31-03-400-801, ALL TESTS PASSED. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  EMER. DESCENT Part Name: OUTFLOW VALVE Part Condition: FAILED",No,CRUISE                                            ,SME Feedback,Controllable,,,
ASAA2017070621306,"DURING DESCENT FROM 250 AT APPROXIMATELY FL 215,  HAD CABIN ALTITUDE WARNING.  CABIN ALTITUDE WAS APROXIMATELY 11,000 FT.  CONDUCTED QRC/QRH PROCEDURES.  CABIN STABILIZED DURING DESCENT. PROCEEDED TO NORMAL LANDING.  ACFT GROUNDED.  PERFORMED CABIN PRESSURE CONTROLLER BITE CHECK NR 2 CONTROLLER SHOWED CODE 030, LOW IN FLOW /HIGH LEAKAGE IAW FIM 21-31-801.  INSPECTED AIRFRAME FOR LEAKS, NO ABNORMAL LEAKS FOUND. INSPECTED PNEUMATIC DUCT, PRESSURE BULKHEAD, AND AIR CONDITIONINGBAYS, NO DEFECTS FOUND. PERFORMED CABIN PRESSURE LEAK TEST IAW AMM 05-51-01, CHECKED GOOD. Nature of Condition:  FALSE WARNING Precautionary Procedure:  OTHER Part Name: WARNING MESSAGE Part Condition: FALSE ACTIVATION",Maybe,DESCENT                                           ,SME Feedback,STABILIZED DURING DESCENT,,,
ASAA2017080821578,"AT FL 240, WHEN POWER REDUCED TO IDLE, CABIN LOSES PRESSURE. CABIN CLIMBS AT 1000 FPM. UNABLE TO CONTROL CABIN PRESSUREWITHOUT ADDING ENGINE POWER. ACFT GROUNDED. PERFORMED CABIN PRESSURE LEAK TEST, LEAK CHECK SATISFACTORY IAW AMM 05-51-91. ACCOMPLISHED FIM 21-00-807. AIRPLANE CANNOT MAINTAIN CABIN PRESSURE ON A SINGLE PACK WITHIN SPECIFIED LIMITS. BOTH PACKS OPERATED NORMALLY DURING SINGLE PACK OPERATION. NO DISCREPANCIES NOTED. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  OTHER Part Name: CABIN PRESSURE Part Condition: UNKNOWN",Maybe,CRUISE                                            ,SME Feedback,,,,
ASAA2017083021753,"CLIMBING OUT OF 10,000,  NOTICED THE PRESSURIZATION PANEL WAS BLANK. FLT ALT, LAND ALT, AND OUTFLOW VALVE WERE BLANK.  ACFT GROUNDED.  PERFORMED FIM 21-31,TASK 803. CABIN PRESSURE CONTROL MODULE DISPLAY AND RESET POWER TO THE AIRCRAFT CABINPANEL DISPLAY CAME BACK NO DEFECT NOTED. Nature of Condition:  WARNING INDICATION Precautionary Procedure:  OTHER Part Name: CONTROL MODULE Part Condition: MALFUNCTIONED",No ,CLIMB                                             ,SME Feedback,Displays only,,,
ASAA2017090421781,"PRESSURIZATION CONTROLLER PANEL WAS BLANK, NO INDICATIONS.  ACFT GROUNDED.  CYCLED POWER TO CPC MODULE AND OPS CHECKED NMR IAW FIM 21-31 TASK 803.  ALL GROUND FUNCTIONAL TESTS PASSED.",No,NOT REPORTED                                      ,Added By Random Sampling,,,,
ASAA2017090821853,"DURING PREFLIGHT, DISCOVERED PRESSURIZATION AUTO FAILED AND ALTERNATE LIGHTS ON.  ACFT GROUNDED.  THE MODE SELECTOR SWITCH REPOSITIONED TO MAN AND BACK TO AUTO, AUTO FAIL LIGHT EXTINGUISHED. NO PREVIOUS HISTORY LAST 30 DAYS, CHECKED GOOD FOR SERVICE.",No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2017091721938,"AT THE GATE, AUTO FAIL AND ALTERNATE ILLUMINATED ON PRESSURIZATION PANEL.  ACFT GROUNDED.  PERFORMED FIM 21-31 TASK 801. NO FAULT NOTED.",No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2017100922153,"THERE'S NO CONTROL OF THE LIGHTING ON THE PRESSURE CONTROL PANEL.  ACFT GROUNDED.  FOUND THE FLT ALT, LAND ALT, AND OUTFLOW VALVE IND STUCK ON MAXIMUM BRIGHTNESS. ADDITIONALLY FOUND THE OUTFLOW VALVE INDICATOR SHOWING CLOSED WITH THE VALVEIN THE OPEN POSITION.  PERFORMED POWER RESET PROCEDURE IAW FIM 21-31, TASK 803, PARA I, OPS CHECKED NORMAL. OUTFLOW VALVE POSITION INDICATION AGREES WITH OUTFLOW VALVE POSITION. Nature of Condition:  OTHER Precautionary Procedure:  OTHER Part Name: LIGHT Part Condition: MALFUNCTIONED",No ,NOT REPORTED                                      ,SME Feedback,Displays only,,,
ASAA2017121022819,"PACK LIGHT ILLUMINATED AFTER T/O. RAN QRH, PACK LIGHT DID NOT RESET. CONT FLT & MONITOR PRESSURIZATION. AFTER 30 MIN PACK TEMP DECREASED AND PACK LIGHT EXTINGUISHED WITH MASTER CAUTION RECALL. WENT BACK TO NORMAL OPS. GROUNDED - YES. OPERATED RT PACK NUMEROUS TIME. UNABLE TO DUPLICATE PACK LIGHT FAULT. RT PACK OPS CK GOOD. REF B737-900 FIM 21-53 TASK 806.",No,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
ASAA201804194290,AUTO FAIL LIGHT & ALTN BOTH ON ON PRESSURIZATION PANEL.  ACFT GROUNDED.  REPOSITIONED MODE SELECTOR TO MANUAL AND THEN BACK TO AUTO. AUTO FAIL LIGHT EXTINGUISHED WITH THE PRESSURIZATION MODE SECTOR IN AUTO. OK FOR SERVICE.,No,NOT REPORTED                                      ,Added By Random Sampling,,,,
ASAA2018100826387,"PRESSURIZATION CONTROL PANEL AUTO DISPLAY BLANK. GROUNDED - YES. RESET A/C POWER ACCOMPLISHED FIM 21-31 TASK 803 NO DEFECTS NOTED. PERFORMED (DCPC) BITE CHECK, SYSTEM OK NO FAULTS GENERATED REF FIM 21-31 TASK 801.",No,NOT REPORTED                                      ,Added By Random Sampling,,,,
ASAA2018120427217,"JUST AS WE STARTED A DESCENT FROM FL410 THE CABIN CLIMB INDICATOR SHOWED THE CABIN CLIMBING AT 3000 FPM. WE THEN GOT A C ABIN ALTITUDE WARNING. INITIATED AN EMERGENCY DESCENT TO 10,000 FEET. PACK OPERATION APPEARED TO BE NORMAL THROUGHOUT AN D OUTFLOW VALVE OPERATED NORMALLY. NO MASTER CAUTION INDICATIONS. CABIN ALTITUDE EXCEEDED 10,000'' BUT NOT ABOVE 14,000''.  GROUNDED - YES. CREW STATED DURING BRIEFING THAT THE OUTFLOW VALVE INDICATED CLOSED WHEN INCIDENT BEGAN AND OPERATED NO RMAL DURING MANUAL OPERATION. PERFORMED FIM 21-31 TASK 801 DCPC BOTH SHOW ""SYSTEM OK"" AND NO EXISTING FAULTS. FAULT HIST ORY SHOWS EACH DCPC TOOK TURNS LOGGING FAULT ""LO FL / HILEAKG, FAULT CODE :030"" ON ALMOST EVERY FLIGHT FOR LAST 27 FLTS.",Yes,DESCENT                                           ,SME Feedback,,ASA-ASA-18-0662,COSP Reportable,2018-2152
ASAA2018122097478,PRESSURIZATION OUTFLOW VALVE INDICATES CLOSED ON GROUND. GROUNDED - YES. CYCLED ELEC PWR - PERFORMED BITE TEST OF BOTH CABIN PRESS CONTROLLERS & MANUAL OPS CK OF OUTFLOW VALVE NML PER B737-900 AMM 21-31-00.,No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2018122617545,"FOLLOW-UP TO HISTORY OF PRESSURIZATION PANEL (P5-6) NOT DIMMING ISSUES. GROUNDED - YES. ENGINEERING REQUEST - REMOVED/REPLACED CABIN PRESSURE CONTROL MODULE REF B737-900 AMM 21-31-02. ALL REQUIRED TESTS PER SAME MM OPS NML. GROUND VERIFICATION TESTS GOOD REF SAME AMM. BOTH CPC'S SHOWED ON POWER UP - SYSTEM OK, NO EXISTING FAULTS AND NO INFLT FAULTS LOGGED.",No,CRUISE                                            ,Added By Random Sampling,,,,
ASAA2018123127621,#1 ENGINE HAS HISTORY OF SETTING FAULT MESSAGE 75-20831. T3 SIGNAL IS OUT OF RANGE. GROUNDED - YES. REMOVED & REPLACED T 3 SENSOR REF B737-900 AMM 73-21-07 OPS TEST GOOD.    ,No,NULL,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127633,L WINDOW (SIDE) OVHT. GROUNDED - YES. ACCOMPLISHED CHECKLIST PER QRH. EXTINGUISHED.     ,No,NOT REPORTED                                      ,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127634,R1 SLIDE LIGHT INOP. GROUNDED - YES. RELAMPED PER AMM 33-51-04 OPS CHECK GOOD.     ,No,NULL,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127635,"ON CLIMBOUT WX RADAR FAILED, SELECTED TEXT MODE & IT WAS STILL FAILED SHOWING WX TEST IN AMBER & NO COLOR TEST PATTERN.  RE-SELECTED ACTIVE MODE & OPS NORMAL FOR REMAINDER OF FLIGHT. GROUNDED - YES. REMOVED WX RADAR R/T PER AMM TASK 34-43-41 -000-801. INSTALLED SERVICEABLE WX RADAR R/T PER AMM TASK 34-43-400-801. PERFORMED WEATHER RADAR (WXR) SYSTEM TEST PER A MM TASK 34-43-00-710-802-001. OP''S CHECK GOOD.  ",No,CLIMB                                             ,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127637,"VTK FLAG ON CAPT MAP WENT AWAY AFTER APPROX 1 MINUTE. VTK FLAG ON CAPT SIDE RETURNED AND MAP REMOVED. FOLLOWED QRH AND W ENT FMC BOTH ON R AFTER ONE MINUTE FMC INFO ON POS PAGE DISPLAYED NORMAL. PUT FMC SWITCH BACK TO NORMAL. GROUNDED - YES.  PERFORMED FIM 34-61 TASK 836. FOUND NO DISCREPANCIES, OPS CHECK NORMAL.   ",No,NOT REPORTED                                      ,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127639,"NR 2 ENGINE START VALVE IS SLOW TO OPEN OR STICKING. GROUNDED - YES. REMOVED & REPLACED NR 2 ENG START VALVE. REF AMM TA SK 80-11-03-400-801-F00, 80-11-03-000-801-F00.    ",No,NULL,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127645,"AFT CAB ZONE TEMP LIGHT ILLUMINATES UPON RECALL. GROUNDED - YES. RESET THE AFT CABIN ZONE TEMP CONTROLLER AND ACCOMPLISH ED BITS. VERIFIED AFT CABIN TRIM AIR MODULATION VALVE MODULATES, OPS CK GOOD IAW AMM 21-61-00-700-806-002.    ",No,NOT REPORTED                                      ,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127821,"AFT PIT LT TRANSITION PANEL HAS AREAS OF CORR FROM STA 727+8 TO STA 830. GROUNDED - YES. REMOVED CORR FROM AFT PIT LT TR ANSITION PANEL FROM STA 727+8 TO STA 830, FOUND TO BE IN LIMITS BETWEEN STA 727+8 AND 727G+8 AND 727I+D AND 830 IAW SRM  53 00 53 1A 2 FIG 103 DETAIL D RESTORED FINISH IAW AMM 51 21 47 370 802 AND AMM 51 21 71 370 802, REMOVED CORR FROM AFT  PIT LT TRANSITION PANEL STA 727G+8 TO 727I+12, FOUND TO BE OUT OF LIMITS IAW SRM 53 00 53 1A 2 FIG 103 DETAILD REPAIRED  LT TRANSWITION PANEL STA 727G+8 TO 727I+12 IAW SRM 53 00 53 2R 5 RPAIR 5 W 1 O .040 R .018 L 6 D .022. ",No,NULL,FAA and Sentence Transformer Aided ,,,,
ASAA2018123127918,"AFT PIT TRANSITION PANEL HAS AREAS OF CORR FROM STA 727+10 TO STA 747. GROUNDED - YES. BLENDED DAMAGED AREA, FOUND TO BE  OUT OF LIMITS IAW SRM 53 00 53 1A 2, FABRICATED NEW TRANSITION PANEL RT STA 727+10 TO 747 IAW SRM 53 00 53 2R 5 W 1 O . 040 R .020 L 100"" D .020.   ",No,NULL,FAA and Sentence Transformer Aided ,,,,
ASAA2019012527928,AFTER LANDING THE 'AUTO FAIL' AND 'ALTN' LIGHTS ILLUMINATED FOR THE PRESSURIZATION CONTROL. GROUNDED - YES. ACCOMPLISHED FIM 21-31 TASK 801 DCPC BITE PROCEDURE NO FAULTS FOUND.  NO CURRENT FAULT AUTO FAIL AND ALTN LIGHTS EXTINGUISHED.,No,LANDING                                           ,Added By Random Sampling,,,,
ASAA2019052839467,"WHILE PARKED AT GATE WITH ENGINES SHUT DOWN, MASTER CAUTION ILLUMINATED WITH AUTO FAIL & ALT MODE ILLUMINATED. GROUNDED - YES. REMOVED AND REPLACED AFT OUTFLOW VALVE ASSY IAW AMM 21-31-03/401. PRESSURIZATION SYSTEM MANUAL AND GROUND TEST TESTED GOOD.",No,TAXI                                              ,Added By Random Sampling,,,,
ASAA2019060769606,CAPT SIDE SLIDING WINDOW MAKING LOUD SQUEAL AFTER TAKEOFF PRESSURIZATION NORMAL. GROUNDED - YES. DIVERSION TIME: 15 MINUTES. PRESSURIZED A/C AND VERIFIED LOUD SQUEAL FROM CAPT SIDE WINDOW. REMOVED AND REPLACED CAPT SLIDING WINDOW PER B737-800 AMM 56-12-11-000-801 AND 56-12-11-000-801 OPS CKECK NORMAL.,No,CLIMB                                             ,Added By Random Sampling,,,,
ASAA2020010831770,"MASTER CAUTION RECALL RIGHT PACK LIGHT ILLUMINATED. LIGHT EXTINGUISHED WITH MASTER CAUTION RESET. PRESSURIZATION NORMAL. GROUNDED - YES. REMOVED AND REPLACED RH PACK TCV REF B737-800 AMM 21-51-10, OPS CHECK LEAK CHECK AND BITE TEST GOOD. GROUND VERIFICATION TEST SUCCESSFUL.",No,NOT REPORTED                                      ,Added By Random Sampling,,,,
